name,price,sample,valuable,bench,bench_low,bench_high
Seagate ST3802110A 80GB,79,737,0.52,25.6,10,38
Seagate SkyHawk 3TB (2016),77,2000,64.6,82.9,53,104
HGST Travelstar 7K750 2.5" 750GB,77,8700,9.54,48.8,21,68
Seagate ST3750330NS 750GB,76,1000,9.37,47.4,26,60
Seagate Barracuda 4TB (2017),75,179000,71.8,67.3,40,90
WD Green 1TB (2009),71,103000,11.8,41.9,23,57
WD Gold 1TB (2016),70,2800,24.3,84.9,57,109
WD Purple Surveillance 2TB (2017),70,11000,41.4,71.9,41,104
Fujitsu MHV2100BH 100GB,69,268,0.46,15.7,7,21
Seagate ST310005 1TB,69,16,13.1,45.1,31,63
WD Blue 2.5" 750GB,68,14000,9.96,44.8,22,62
Seagate ST3160215A 160GB,67,844,1.26,26.4,7,40
WD Black 2.5" 750GB (2013),67,16000,12.1,54.1,28,71
Seagate Video SV35.6 Series 1TB,66,17000,27.3,90.2,57,119
WD VelociRaptor 300GB,66,11000,5.17,56.8,39,69
Seagate ST3320418AS 320GB,66,24000,4.29,44.1,21,58
WD Re 3TB (2012),65,2100,74.2,80.4,53,96
Seagate Barracuda 7200.14 3TB,65,235000,81.5,88.3,56,113
HGST Travelstar 7K750 2.5" 500GB,64,9900,6.55,41.6,20,59
Hitachi Deskstar 7K3000 3TB,63,6300,64.9,68.3,40,87
Seagate Desktop HDD 4TB (2013),63,67000,97.7,76.9,46,96
Seagate Cheetah 15K.7 SAS 300GB,62,1000,8.14,84.1,54,111
Seagate SkyHawk 1TB (2016),62,7800,25.2,78,47,98
WD VelociRaptor 500GB,62,8100,14.4,89.4,61,113
WD Blue 4TB (2015),61,124000,105,80.2,49,101
Toshiba DT01ACA300 3TB,61,85000,83.6,84.7,51,107
Seagate ST2000NM0011 2TB,60,4000,46.1,69.2,45,86
Seagate ST31000524AS 1TB,60,308,17.7,53,31,68
WD Red 1TB (2012),60,37000,22.2,66.7,43,87
Seagate Barracuda 7200.12 1TB,60,337000,18,53.9,34,68
Seagate Constellation ES.3 2TB,59,5000,57.1,84.2,56,104
Toshiba DT01ACA200 2TB,59,344000,58.1,85.7,49,108
WD Black 2TB (2013),58,144000,60.5,88.5,60,112
WD Black 500GB (2012),58,20000,13.1,76,43,105
WD Blue 2TB (2015),58,253000,44.7,64.8,40,84
Seagate SkyHawk 2TB (2016),58,9100,55,79.4,52,99
WD Purple 2TB (2014),58,19000,46,66.2,39,86
WD Re 4TB (2012),57,4200,110,78.1,53,96
WD Gold 4TB (2016),56,4800,129,91.1,61,111
Seagate FireCuda 2.5" 1TB,56,127000,16.4,45.8,20,70
WD Blue 2.5" 750GB (2010),55,30000,10.7,39.3,19,54
Hitachi HTS542580K9SA00 80GB,55,612,0.52,17.8,7,25
WD Re 1TB (2013),55,3700,22.1,60.7,37,77
Seagate Barracuda 7200.14 2TB,55,815000,64.4,88.2,51,114
WD Purple Surveillance 500GB (2017),55,14,9.04,49.5,28,65
Hitachi HTS543212L9A300 120GB,54,262,0.94,21.2,7,29
Toshiba MK5065GSX 500GB,52,4100,5.76,30.2,13,42
Seagate Momentus 2.5" 500GB,52,47000,8.06,42.3,18,58
Hitachi HDS722020ALA330 2TB,52,17000,42.4,55.1,35,69
Seagate ST9160823AS 160GB,51,538,1.53,24.3,12,32
WD Green 1.5TB (2011),51,6500,28.1,47.5,27,65
WD Black 2.5" 250GB (2010),50,8500,3.69,36.9,18,52
Seagate Barracuda 2TB (2018),50,695000,69.5,86.9,53,106
WD Purple 3TB (2014),50,6600,79.4,66.1,40,85
WD Blue 1TB (2010),49,55000,23,56.9,35,74
WD Black 1TB (2010),49,257000,23.1,56.8,35,76
Seagate ST3160815A 160GB,48,702,1.85,27.7,8,41
Seagate ST3160812AS 160GB,47,10000,2.05,30.1,15,40
Toshiba MK2552GSX 250GB,47,2300,2.51,23.4,11,31
Seagate ST3160815AS 160GB,46,33000,2.06,29.9,11,42
Fujitsu MHY2200BH 200GB,46,859,1.64,19,7,27
Seagate ST500NM0011 500GB,46,1900,14.1,65,42,84
Fujitsu MHY2160BH 160GB,45,1000,1.35,19.2,8,27
Seagate Momentus Thin 7200 2.5" 250GB,45,1300,4.49,40.4,13,58
Seagate ST3250620NS 250GB,45,1500,3.82,34.3,17,44
WD Black 2.5" 320GB (2010),45,23000,5.81,40.8,21,60
WD Purple Surveillance 1TB (2017),45,9400,30.4,68.3,39,89
Seagate Barracuda 1TB (2016),45,1100000,41,92.3,60,113
WD Green 1TB (2011),45,143000,28.5,64,38,85
Hitachi HTS543232L9A300 320GB,45,4600,3.42,24,9,34
Toshiba MQ01ABD100 1TB,44,322000,21,46.7,23,62
Hitachi Deskstar P7K500 250GB,44,9700,4.35,37.8,19,50
Seagate Barracuda 7200.14 1TB,42,1500000,42,89.2,55,112
Hitachi HUA722010CLA330 1TB,42,10000,28.8,60.5,37,76
WD Green 2TB (2012),42,170000,60.6,63.6,40,84
Seagate Barracuda 7200.12 500GB,41,107000,13.1,54.5,28,70
Hitachi HTS543225L9SA00 250GB,41,1000,2.95,24,8,35
WD Blue 2.5" 1TB (2013),40,57000,22.2,44.7,21,63
Samsung HD160JJ/P 160GB,40,2000,2.04,25.6,14,34
WD RE4 1TB (2010),40,23000,29.8,59.5,36,76
Seagate Laptop SSHD 2.5" (32GB NAND) 1TB,40,561,26.3,52.6,33,66
Seagate Laptop SSHD 2.5" 1TB,40,64000,24.2,48.5,19,65
Seagate ST3320620NS 320GB,40,953,5.55,34.7,22,44
WD Blue 2.5" 500GB (2010),40,32000,8.79,35.1,17,50
WD Purple 1TB (2014),40,18000,32.8,65.4,44,85
Hitachi HDT721016SLA380 160GB,38,3100,3.46,41.4,12,60
WD Blue 2.5" 1TB (2004),38,218000,23.5,45,23,62
Seagate ST3250820AS 250GB,38,16000,4.45,33.8,18,44
Hitachi HUA721010KLA330 1TB,38,10000,19.8,37.6,23,46
Hitachi HTS543232A7A384 320GB,38,17000,5.2,30.9,8,46
Seagate Barracuda 7200.12 500GB,38,203000,14.4,53.8,28,70
Hitachi HUA723020ALA640 2TB,37,7800,69,64.6,41,83
WD Blue 500GB (2008),37,203000,12.9,47.6,28,69
WD Blue 2.5" 160GB (2009),36,13000,2.33,26.5,14,36
WD RE4 500GB (2010),35,12000,16.9,59.8,37,76
WD VelociRaptor 250GB,35,3000,12.9,90,62,111
WD WD20EURX 2TB,35,12000,75.8,66.3,39,86
