name,price,sample,valuable,bench,bench_low,bench_high
Crucial P5 3D NVMe PCIe M.2 1TB,130,24000,86.2,287,175,370
WD Black NVMe PCIe M.2 256GB (2017),129,28000,13.1,121,86,144
Samsung 960 Pro NVMe PCIe M.2 512GB,128,63000,49,266,159,353
WD Black SN850 NVMe PCIe M.2 1TB,128,14000,120,395,228,595
Crucial MX300 1TB,128,21000,28.9,91.4,68,105
Crucial MX500 2TB,127,84000,54.3,106,81,124
Intel 600p Series NVMe PCIe M.2 512GB,125,20000,24,128,95,144
Crucial T700 M.2 1TB,125,1900,166,537,315,691
Crucial P2 3D NVMe PCIe M.2 2TB,121,7400,116,217,129,307
Kingston SSDNow KC300 180GB,120,410,6.24,70.9,53,85
WD Blue SN550 NVMe PCIe M.2 1TB,120,180000,72.7,228,164,276
Intel 760p Series NVMe PCIe M.2 512GB,120,10000,44,228,148,293
Intel 525 Series mSATA 120GB,119,655,4.13,63.2,46,81
HyperX Savage 240GB,118,39000,9.86,89.3,59,111
Crucial P5 Plus NVMe PCIe M.2 2TB,116,14000,241,438,261,564
Samsung 850 Pro 256GB,112,141000,12.3,102,71,124
Toshiba XG5 NVMe PCIe M.2 256GB,112,44000,15.1,125,73,193
Samsung 970 Evo NVMe PCIe M.2 1TB,110,331000,101,297,214,372
Transcend SSD370S 256GB,110,11000,11,89.4,62,114
Samsung 860 Evo 500GB,109,762000,21.5,105,74,129
Intel Pro 6000p NVMe PCIe M.2 512GB,108,2100,24.5,117,84,140
Intel 545s Series 256GB,108,17000,11.9,95.5,67,117
WD Blue 1TB,108,6700,30,86.9,61,108
SanDisk SSD Plus 960GB,106,2600,20.1,59.2,36,78
Samsung 850 Evo 250GB,105,951000,12.9,103,72,124
Intel 535 Series 180GB,100,415,7.41,73.4,56,87
Samsung 750 EVO 120GB,100,20000,6.91,92.7,65,110
Samsung 860 QVO 1TB,100,201000,32.5,88.9,49,121
SanDisk Ultra II 960GB,100,35000,30,84.5,62,107
Samsung 990 Pro M.2 1TB,100,34000,147,402,275,507
Crucial P5 Plus NVMe PCIe M.2 1TB,99,27000,142,385,215,537
HP EX920 NVMe PCIe M.2 1TB,99,16000,100,267,158,355
Crucial P2 3D NVMe PCIe M.2 1TB,99,52000,73.7,200,84,299
Samsung 970 Evo NVMe PCIe M.2 250GB,98,154000,30.8,235,160,280
Kingston SSDNow V300 60GB,94,24000,2.23,48,27,69
WD Blue 500GB,94,19000,19.7,86.4,63,107
Samsung 870 EVO 1TB,92,129000,43.7,112,82,137
Samsung 870 QVO 1TB,90,80000,37.4,94.6,48,128
