name,price,sample,valuable,bench,bench_low,bench_high
Intel Core i5-9600KF £210,£210,65000,97.2,93.2,81,102
Intel Core i7-6900K £209,£209,6700,89.7,85.9,76,98
AMD Ryzen 7 3800X £205,£205,141000,91.4,87,78,96
Intel Core i5-12500 £203,£203,3700,104,99.2,91,106
Intel Core i7-12700F £200,£200,19000,115,109,99,116
Intel Core2 Duo E6750 £200,£200,9400,40,37.8,25,44
Intel Core2 Duo E8500 £200,£200,18000,44.2,41.9,28,48
Intel Core2 Quad Q8200 £200,£200,19000,45.5,43,32,50
AMD Ryzen 5 1600AF £200,£200,52000,76.1,72,63,82
AMD Ryzen 5 2600 £200,£200,179000,77.6,73.3,67,81
Intel Core i5 760 £199,£199,34000,67.3,63.6,50,72
Intel Core i5-750 £199,£199,43000,65.1,61.5,48,71
Intel Core i5-9500 £199,£199,9000,92,87,69,94
AMD Ryzen 7 5700X3D £198,£198,757,103,97,85,105
AMD Ryzen 5 7600X £192,£192,4200,118,110,98,120
Intel Core i5-14400F £190,£190,329,114,107,100,113
Intel Core i3-8350K £189,£189,23000,87.7,81.7,68,93
Intel Core i7-10700K £188,£188,198000,104,96.5,86,104
Intel Core2 4400 £186,£186,1900,35.7,33.1,21,39
Intel Core2 Duo E4400 £186,£186,1400,35.9,33.3,20,38
Intel Core2 Duo T8100 £185,£185,2600,37.8,35,21,40
Intel Core2 Duo E8300 £185,£185,1400,44.6,41.3,33,46
AMD Ryzen 5 2600X £183,£183,142000,80.2,74,64,86
Intel Core i5-11600K £182,£182,43000,108,99.3,91,108
AMD FX-9370 £180,£180,9000,68,62.5,55,70
Intel Core i5-9400 £180,£180,22000,94.1,86.5,78,91
Intel Core i5-10500 £179,£179,10000,91.7,84.2,58,94
Intel Core i3 540 £178,£178,24000,50,45.9,33,52
Intel Core i5-12600 £177,£177,2600,111,102,93,111
Intel Core i7-8700K £175,£175,746000,96.9,88.4,76,100
AMD Ryzen 5 2400G £175,£175,127000,68.6,62.5,52,73
AMD Ryzen 5 7600 £175,£175,4000,117,106,94,116
AMD Ryzen 5 1400 £170,£170,71000,67.4,61,51,69
Intel Core i5-12600K £170,£170,101000,120,109,100,117
Intel Core i7-6850K £169,£169,29000,92.6,83.6,74,93
Intel Core i7-6700K £169,£169,588000,89.5,80.8,70,90
